Date,Coin,Qty,Side,Price,Note
03/08 04:46:11,KRW-NEAR,0.8417508417508418,buy,11880.0,Bollinger Band Upper
03/08 04:46:23,KRW-NEAR,1.42677938,sell,11880.0,Sell-4: 11916<12040and11890.0<11916
03/08 04:46:39,KRW-NEAR,0.8424599831508003,buy,11870.0,Bollinger Band Upper
03/08 04:46:52,KRW-NEAR,1.42536515,sell,11870.0,Sell-4: 11914<12040and11870.0<11914
03/08 04:47:08,KRW-NEAR,0.8438818565400844,buy,11850.0,Bollinger Band Upper
03/08 04:47:23,KRW-NEAR,1.42276252,sell,11840.0,Sell-4: 11908<12038and11840.0<11908
03/08 04:47:29,KRW-CVC,32.57328990228013,buy,307.0,Bollinger Band Upper
03/08 04:47:42,KRW-CVC,54.59326493,sell,308.0,Sell-4: 310<312and308.0<310
03/08 04:47:52,KRW-NEAR,0.8467400508044031,buy,11810.0,Bollinger Band Upper
03/08 04:48:04,KRW-NEAR,1.41655683,sell,11820.0,Sell-4: 11904<12038and11820.0<11904
03/08 04:48:10,KRW-CVC,32.57328990228013,buy,307.0,Bollinger Band Upper
03/08 04:48:23,KRW-CVC,54.26283831,sell,309.0,Sell-4: 310<312and309.0<310
03/08 04:48:34,KRW-NEAR,0.8460236886632826,buy,11820.0,Bollinger Band Upper
03/08 04:48:46,KRW-NEAR,1.40560474,sell,11850.0,Sell-4: 11910<12039and11860.0<11910
03/08 04:48:52,KRW-CVC,32.57328990228013,buy,307.0,Bollinger Band Upper
03/08 04:49:05,KRW-CVC,53.80518155,sell,309.0,Sell-4: 310<312and309.0<310
03/08 04:49:16,KRW-NEAR,0.8438818565400844,buy,11850.0,Bollinger Band Upper
03/08 04:49:28,KRW-NEAR,1.39259406,sell,11830.0,Sell-4: 11906<12038and11840.0<11906
03/08 04:49:34,KRW-CVC,32.467532467532465,buy,307.0,Bollinger Band Upper
03/08 04:49:47,KRW-CVC,53.26253118,sell,309.0,Sell-4: 310<312and309.0<310
03/08 04:49:57,KRW-NEAR,0.8445945945945946,buy,11840.0,Bollinger Band Upper
03/08 04:50:09,KRW-NEAR,1.37854909,sell,11850.0,Sell-4: 11874<12028and11850.0<11874
03/08 04:50:15,KRW-CVC,32.57328990228013,buy,307.0,Bollinger Band Upper
03/08 04:50:28,KRW-CVC,52.76971844,sell,309.0,Sell-4: 309<312and309.0<309
03/08 04:50:39,KRW-NEAR,0.8460236886632826,buy,11820.0,Bollinger Band Upper
03/08 04:50:51,KRW-NEAR,1.36810307,sell,11810.0,Sell-4: 11866<12026and11830.0<11866
03/08 04:50:57,KRW-CVC,32.57328990228013,buy,307.0,Bollinger Band Upper
03/08 04:51:10,KRW-CVC,52.23735954,sell,307.0,Sell-4: 308<312and309.0<308
03/08 04:51:20,KRW-NEAR,0.8481764206955047,buy,11790.0,Bollinger Band Upper
03/08 04:51:32,KRW-NEAR,1.35889593,sell,11760.0,Sell-4: 11858<12024and11780.0<11858
03/08 04:51:38,KRW-CVC,32.57328990228013,buy,307.0,Bollinger Band Upper
03/08 04:51:51,KRW-CVC,51.87796525,sell,308.0,Sell-4: 309<312and308.0<309
03/08 04:52:01,KRW-NEAR,0.8503401360544217,buy,11760.0,Bollinger Band Upper
03/08 04:52:13,KRW-NEAR,1.35296955,sell,11750.0,Sell-4: 11854<12024and11750.0<11854
03/08 04:52:19,KRW-CVC,32.57328990228013,buy,307.0,Bollinger Band Upper
03/08 04:52:32,KRW-CVC,51.47637889,sell,308.0,Sell-4: 309<312and308.0<309
03/08 04:52:42,KRW-NEAR,0.8503401360544217,buy,11760.0,Bollinger Band Upper
03/08 04:52:55,KRW-NEAR,1.34249624,sell,11760.0,Sell-4: 11854<12024and11770.0<11854
03/08 04:53:01,KRW-CVC,32.57328990228013,buy,307.0,Bollinger Band Upper
03/08 04:53:18,KRW-CVC,51.16459707,sell,308.0,Sell-4: 309<312and308.0<309
03/08 04:53:28,KRW-NEAR,0.8488964346349746,buy,11780.0,Bollinger Band Upper
03/08 04:53:41,KRW-NEAR,1.33096968,sell,11770.0,Sell-4: 11858<12024and11780.0<11858
03/08 04:53:47,KRW-CVC,32.57328990228013,buy,307.0,Bollinger Band Upper
03/08 04:54:00,KRW-CVC,50.81183733,sell,308.0,Sell-4: 309<312and308.0<309
03/08 04:54:10,KRW-NEAR,0.851063829787234,buy,11750.0,Bollinger Band Upper
03/08 04:54:22,KRW-NEAR,1.32291524,sell,11740.0,Sell-4: 11852<12023and11770.0<11852
03/08 04:54:28,KRW-CVC,32.57328990228013,buy,307.0,Bollinger Band Upper
03/08 04:54:40,KRW-CVC,50.46143733,sell,308.0,Sell-4: 309<312and308.0<309
03/08 04:54:50,KRW-NEAR,0.8503401360544217,buy,11760.0,Bollinger Band Upper
03/08 04:55:02,KRW-NEAR,1.31714674,sell,11770.0,Sell-4: 11818<12008and11760.0<11818
03/08 04:55:08,KRW-CVC,32.57328990228013,buy,307.0,Bollinger Band Upper
03/08 04:55:22,KRW-CVC,50.28335487,sell,308.0,Sell-4: 308<312and308.0<308
03/08 04:55:30,KRW-POLY,20.964360587002098,buy,477.0,Bollinger Band Upper
